championship_name,event__name,round_name,rank,bib,nme,noc,total
2023 Shotgun World Championship,Skeet Men,Final,1,1635,Mitas Efthimios,GRE,56
2023 Shotgun World Championship,Skeet Men,Final,2,1493,Kallioinen Eetu,FIN,55
2023 Shotgun World Championship,Skeet Men,Final,3,1416,Mehelba Azmy,EGY,46
2023 Shotgun World Championship,Skeet Men,Final,4,2681,Hancock Vincent,USA,37
2023 Shotgun World Championship,Skeet Men,Final,5,1379,Hansen Jesper,DEN,26
2023 Shotgun World Championship,Skeet Men,Final,6,2234,Watndal Erik,NOR,15
2023 Shotgun World Championship,Skeet Men,Qualification,1,2681,HANCOCK Vincent,USA,125+2
2023 Shotgun World Championship,Skeet Men,Qualification,2,1416,MEHELBA Azmy,EGY,125+1
2023 Shotgun World Championship,Skeet Men,Qualification,3,2234,WATNDAL Erik,NOR,124+22
2023 Shotgun World Championship,Skeet Men,Qualification,4,1493,KALLIOINEN Eetu,FIN,124+21
2023 Shotgun World Championship,Skeet Men,Qualification,5,1635,MITAS Efthimios,GRE,124+1
2023 Shotgun World Championship,Skeet Men,Qualification,6,1379,HANSEN Jesper,DEN,123+24
2023 Shotgun World Championship,Skeet Men,Qualification,7,1926,YECHSHENKO Alexandr,KAZ,123+23
2023 Shotgun World Championship,Skeet Men,Qualification,8,1593,HAAGA Vincent,GER,123+21
2023 Shotgun World Championship,Skeet Men,Qualification,9,1385,PETERSEN Emil Kjelgaard,DEN,123+13
2023 Shotgun World Championship,Skeet Men,Qualification,10,1835,ROSSETTI Gabriele,ITA,123+7
2023 Shotgun World Championship,Skeet Men,Qualification,11,2675,ELLIOTT Christian,USA,123+3
2023 Shotgun World Championship,Skeet Men,Qualification,12,2294,PACHECO ESPINOSA Nicolas,PER,122
2023 Shotgun World Championship,Skeet Men,Qualification,13,1242,FLORES BARAHONA Hector Andres,CHI,122
2023 Shotgun World Championship,Skeet Men,Qualification,14,1328,ACHILLEOS Georgios,CYP,122
2023 Shotgun World Championship,Skeet Men,Qualification,15,1521,DELAUNAY Eric,FRA,46
2023 Shotgun World Championship,Skeet Men,Qualification,16,1032,GIL Federico,ARG,31
2023 Shotgun World Championship,Skeet Men,Qualification,17,1822,CASSANDRO Tammaro,ITA,14
2023 Shotgun World Championship,Skeet Men,Qualification,18,2167,FARRUGIA Clive,MLT,62
2023 Shotgun World Championship,Skeet Men,Qualification,19,2364,AL-ATHBA Rashid Saleh,QAT,11
2023 Shotgun World Championship,Skeet Men,Qualification,20,1369,TOMECEK Jakub,CZE,2
2023 Shotgun World Championship,Skeet Men,Qualification,21,2312,BAKSALARY Kacper Jerzy,POL,122
2023 Shotgun World Championship,Skeet Men,Qualification,22,2218,ENGEN Jorgen,NOR,122
2023 Shotgun World Championship,Skeet Men,Qualification,23,2531,NILSSON Stefan,SWE,14
2023 Shotgun World Championship,Skeet Men,Qualification,24,2073,RACINSKAS Ronaldas,LTU,5
2023 Shotgun World Championship,Skeet Men,Qualification,25,1628,CHALKIADAKIS Charalambos,GRE,121
2023 Shotgun World Championship,Skeet Men,Qualification,26,2703,TAYLOR Dustan,USA,121
2023 Shotgun World Championship,Skeet Men,Qualification,27,2602,BUMIN Cemre,TUR,121
2023 Shotgun World Championship,Skeet Men,Qualification,28,2016,ALDAIHANI Mohammad,KUW,121
2023 Shotgun World Championship,Skeet Men,Qualification,29,1701,BAJWA Angad Vir Singh,IND,121
2023 Shotgun World Championship,Skeet Men,Qualification,30,1634,MAVROMMATIS Nikolaos,GRE,121
2023 Shotgun World Championship,Skeet Men,Qualification,31,1927,YECHSHENKO Eduard,KAZ,19
2023 Shotgun World Championship,Skeet Men,Qualification,32,1533,LEJEUNE Nicolas,FRA,5
2023 Shotgun World Championship,Skeet Men,Qualification,33,1333,ENGLEZOUDIS Petros,CYP,121
2023 Shotgun World Championship,Skeet Men,Qualification,34,1464,JUERISSON Peeter,EST,25
2023 Shotgun World Championship,Skeet Men,Qualification,35,2043,UPELNIEKS Dainis,LAT,13
2023 Shotgun World Championship,Skeet Men,Qualification,36,1334,KAZAKOS George,CYP,121
2023 Shotgun World Championship,Skeet Men,Qualification,37,1988,KIM Minsu,KOR,121
2023 Shotgun World Championship,Skeet Men,Qualification,38,1357,NYDRLE Tomas,CZE,121
2023 Shotgun World Championship,Skeet Men,Qualification,39,2627,AHMAD Mohamed,UAE,121
2023 Shotgun World Championship,Skeet Men,Qualification,40,2517,JANSSON Henrik,SWE,120
2023 Shotgun World Championship,Skeet Men,Qualification,41,2646,IPATOV Heorhiy,UKR,120
2023 Shotgun World Championship,Skeet Men,Qualification,42,2634,BIN FUTAIS Saif,UAE,120
2023 Shotgun World Championship,Skeet Men,Qualification,43,1597,KORTE Sven,GER,120
2023 Shotgun World Championship,Skeet Men,Qualification,44,1722,NARUKA Anant Jeet Singh,IND,120
2023 Shotgun World Championship,Skeet Men,Qualification,45,1575,STARTSEV Yaroslav,GEO,120
2023 Shotgun World Championship,Skeet Men,Qualification,46,2655,MILCHEV Mikola,UKR,120
2023 Shotgun World Championship,Skeet Men,Qualification,47,2614,ODAY Salih,TUR,120
2023 Shotgun World Championship,Skeet Men,Qualification,48,2365,AL-ATTIYA Nasser,QAT,120
2023 Shotgun World Championship,Skeet Men,Qualification,49,2579,LEE Meng Yuan,TPE,120
2023 Shotgun World Championship,Skeet Men,Qualification,50,1463,INESHIN Andrei,EST,120
2023 Shotgun World Championship,Skeet Men,Qualification,51,1833,PITTINI Erik,ITA,120
2023 Shotgun World Championship,Skeet Men,Qualification,52,1535,PETIT Emmanuel,FRA,119
2023 Shotgun World Championship,Skeet Men,Qualification,53,2046,VEJS Lauris Peteris,LAT,119
2023 Shotgun World Championship,Skeet Men,Qualification,54,2170,SCIBERRAS Liam,MLT,119
2023 Shotgun World Championship,Skeet Men,Qualification,55,1554,KILLANDER Karl Frederick,GBR,119
2023 Shotgun World Championship,Skeet Men,Qualification,56,2272,CHAND Usman,PAK,119
2023 Shotgun World Championship,Skeet Men,Qualification,57,1260,LI Bolin,CHN,119
2023 Shotgun World Championship,Skeet Men,Qualification,58,1264,LIU Jiangchi,CHN,119
2023 Shotgun World Championship,Skeet Men,Qualification,59,1500,TAKANEN Tommi,FIN,119
2023 Shotgun World Championship,Skeet Men,Qualification,60,2193,Van,DER,119
2023 Shotgun World Championship,Skeet Men,Qualification,61,2362,AL-ATHBA Masoud Saleh,QAT,119
2023 Shotgun World Championship,Skeet Men,Qualification,62,1103,HASANOV Javid,AZE,119
2023 Shotgun World Championship,Skeet Men,Qualification,63,1503,VALLIONIEMI Timi,FIN,118
2023 Shotgun World Championship,Skeet Men,Qualification,64,1093,AGHAZADA Niyaz,AZE,118
2023 Shotgun World Championship,Skeet Men,Qualification,65,1478,VELLESTE Reino,EST,118
2023 Shotgun World Championship,Skeet Men,Qualification,66,1932,POCHIVALOV David,KAZ,118
2023 Shotgun World Championship,Skeet Men,Qualification,67,2039,KUKUTIS Raiens Lukass,LAT,118
2023 Shotgun World Championship,Skeet Men,Qualification,68,1254,HAN Xu,CHN,118
2023 Shotgun World Championship,Skeet Men,Qualification,69,2165,CASSAR Andre,MLT,118
2023 Shotgun World Championship,Skeet Men,Qualification,70,2122,GALLARDO OLIVEROS Luis Raul,MEX,118
2023 Shotgun World Championship,Skeet Men,Qualification,71,1611,SCHREIER Tilo,GER,118
2023 Shotgun World Championship,Skeet Men,Qualification,72,2192,HACCOU Tobias,NED,118
2023 Shotgun World Championship,Skeet Men,Qualification,73,2002,ABDULAIZIZ AL SAUD Hrh Prince Saud Alhassan,KSA,118
2023 Shotgun World Championship,Skeet Men,Qualification,74,1545,BROOKER-SMITH Mitchell,GBR,118
2023 Shotgun World Championship,Skeet Men,Qualification,75,2065,SARKIS Samer,LBN,117
2023 Shotgun World Championship,Skeet Men,Qualification,76,2092,NEBLAOUI Mustapha,MAR,117
2023 Shotgun World Championship,Skeet Men,Qualification,77,1206,GEORGIEV Georgi,BUL,117
2023 Shotgun World Championship,Skeet Men,Qualification,78,1189,ALKHALIFA Khalifa,BRN,117
2023 Shotgun World Championship,Skeet Men,Qualification,79,1073,KUNTSCHIK Sebastian,AUT,17
2023 Shotgun World Championship,Skeet Men,Qualification,80,1954,CHO Minki,KOR,15
2023 Shotgun World Championship,Skeet Men,Qualification,81,2025,AL RASHEDI Mansour,KUW,117
2023 Shotgun World Championship,Skeet Men,Qualification,82,2292,GIHA Nicolas,PER,117
2023 Shotgun World Championship,Skeet Men,Qualification,83,1555,LLEWELLIN Ben,GBR,117
2023 Shotgun World Championship,Skeet Men,Qualification,84,2026,ALRASHIDI Abdullah,KUW,117
2023 Shotgun World Championship,Skeet Men,Qualification,85,1642,BERMUDEZ LABBE Sebastian,GUA,117
2023 Shotgun World Championship,Skeet Men,Qualification,86,1883,TOGUCHI Shotaro,JPN,117
2023 Shotgun World Championship,Skeet Men,Qualification,87,1240,ATALAH Jorge,CHI,116
2023 Shotgun World Championship,Skeet Men,Qualification,88,1224,CURRAN-ROUTLEDGE Trysten Aaron,CAN,116
2023 Shotgun World Championship,Skeet Men,Qualification,89,2008,ALMUTAIRI Saeid Mugbel T,KSA,115
2023 Shotgun World Championship,Skeet Men,Qualification,90,1102,GURBANOV Fuad,AZE,115
2023 Shotgun World Championship,Skeet Men,Qualification,91,1862,IKAWA Hiroyuki,JPN,115
2023 Shotgun World Championship,Skeet Men,Qualification,92,1208,KIRILOV Iliya,BUL,115
